2024-07-06T16:00:39-05:00
Running /Users/tnie/code/cpp/fftconv/build/clang-release/benchmark/bench_fftconv
Run on (8 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 1.79, 3.82, 3.81
-----------------------------------------------------------------------------
Benchmark                                   Time             CPU   Iterations
-----------------------------------------------------------------------------
BM_oaconvolve<double>/1000/15            3163 ns         3133 ns       223103
BM_oaconvolve<double>/1664/15            5245 ns         5205 ns       131675
BM_oaconvolve<double>/2304/15            7290 ns         7231 ns        97692
BM_oaconvolve<double>/2816/15            8671 ns         8645 ns        80564
BM_oaconvolve<double>/3326/15           10190 ns        10156 ns        68928
BM_oaconvolve<double>/4352/15           13421 ns        13390 ns        52282
BM_oaconvolve<double>/1000/35            3893 ns         3880 ns       177479
BM_oaconvolve<double>/1664/35            6411 ns         6364 ns       111309
BM_oaconvolve<double>/2304/35            8906 ns         8819 ns        77273
BM_oaconvolve<double>/2816/35           10746 ns        10612 ns        66606
BM_oaconvolve<double>/3326/35           12610 ns        12518 ns        56639
BM_oaconvolve<double>/4352/35           16233 ns        16186 ns        43306
BM_oaconvolve<double>/1000/65            5676 ns         5658 ns       122954
BM_oaconvolve<double>/1664/65            9092 ns         7607 ns        90125
BM_oaconvolve<double>/2304/65           11015 ns        10895 ns        65640
BM_oaconvolve<double>/2816/65           12423 ns        12372 ns        55510
BM_oaconvolve<double>/3326/65           14421 ns        14289 ns        49611
BM_oaconvolve<double>/4352/65           17930 ns        17778 ns        39902
BM_oaconvolve<double>/1000/95            5805 ns         5752 ns       122164
BM_oaconvolve<double>/1664/95            7870 ns         7567 ns        92097
BM_oaconvolve<double>/2304/95           10957 ns        10852 ns        64320
BM_oaconvolve<double>/2816/95           12794 ns        12548 ns        55580
BM_oaconvolve<double>/3326/95           14814 ns        14673 ns        49717
BM_oaconvolve<double>/4352/95           19391 ns        19327 ns        35940
BM_oaconvolve<float>/1000/15             2861 ns         2855 ns       244882
BM_oaconvolve<float>/1664/15             4792 ns         4785 ns       146244
BM_oaconvolve<float>/2304/15             6598 ns         6582 ns       105611
BM_oaconvolve<float>/2816/15             8004 ns         7983 ns        87443
BM_oaconvolve<float>/3326/15             9392 ns         9362 ns        74667
BM_oaconvolve<float>/4352/15            12321 ns        12280 ns        57003
BM_oaconvolve<float>/1000/35             3492 ns         3481 ns       201813
BM_oaconvolve<float>/1664/35             5607 ns         5590 ns       124728
BM_oaconvolve<float>/2304/35             7740 ns         7715 ns        90231
BM_oaconvolve<float>/2816/35             9451 ns         9401 ns        75781
BM_oaconvolve<float>/3326/35            11086 ns        11043 ns        63446
BM_oaconvolve<float>/4352/35            14432 ns        14386 ns        48710
BM_oaconvolve<float>/1000/65             5266 ns         5249 ns       132536
BM_oaconvolve<float>/1664/65             6850 ns         6831 ns       102118
BM_oaconvolve<float>/2304/65            10199 ns         9969 ns        70824
BM_oaconvolve<float>/2816/65            11466 ns        11429 ns        61307
BM_oaconvolve<float>/3326/65            13019 ns        12982 ns        53974
BM_oaconvolve<float>/4352/65            16132 ns        16081 ns        43568
BM_oaconvolve<float>/1000/95             5279 ns         5262 ns       132075
BM_oaconvolve<float>/1664/95             7135 ns         6963 ns       101726
BM_oaconvolve<float>/2304/95             9923 ns         9894 ns        70643
BM_oaconvolve<float>/2816/95            11760 ns        11681 ns        61113
BM_oaconvolve<float>/3326/95            13069 ns        13026 ns        53744
BM_oaconvolve<float>/4352/95            17668 ns        17601 ns        39827
BM_oaconvolve_same<double>/1000/15       3150 ns         3140 ns       223272
BM_oaconvolve_same<double>/1664/15       5262 ns         5248 ns       132016
BM_oaconvolve_same<double>/2304/15       7263 ns         7244 ns        96134
BM_oaconvolve_same<double>/2816/15       8829 ns         8804 ns        79494
BM_oaconvolve_same<double>/3326/15      10359 ns        10322 ns        67626
