2024-07-06T16:53:36-05:00
Running /Users/tnie/code/cpp/fftconv/build/clang-release/benchmark/bench_fftconv
Run on (8 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 1.93, 1.88, 1.98
-----------------------------------------------------------------------------
Benchmark                                   Time             CPU   Iterations
-----------------------------------------------------------------------------
BM_oaconvolve<double>/1000/15            3095 ns         3074 ns       227928
BM_oaconvolve<double>/1664/15            5178 ns         5161 ns       133828
BM_oaconvolve<double>/2304/15            7132 ns         7107 ns        98107
BM_oaconvolve<double>/2816/15            8865 ns         8773 ns        81118
BM_oaconvolve<double>/3326/15           10142 ns        10104 ns        69009
BM_oaconvolve<double>/4352/15           13395 ns        13340 ns        52262
BM_oaconvolve<double>/1000/35            4005 ns         3959 ns       180184
BM_oaconvolve<double>/1664/35            6281 ns         6259 ns       110933
BM_oaconvolve<double>/2304/35            8667 ns         8636 ns        80646
BM_oaconvolve<double>/2816/35           10368 ns        10326 ns        67474
BM_oaconvolve<double>/3326/35           12423 ns        12377 ns        56591
BM_oaconvolve<double>/4352/35           16219 ns        16161 ns        43325
BM_oaconvolve<double>/1000/65            5690 ns         5666 ns       122239
BM_oaconvolve<double>/1664/65            7401 ns         7374 ns        94125
BM_oaconvolve<double>/2304/65           10701 ns        10660 ns        65505
BM_oaconvolve<double>/2816/65           12726 ns        12569 ns        56542
BM_oaconvolve<double>/3326/65           14107 ns        14057 ns        49902
BM_oaconvolve<double>/4352/65           17559 ns        17503 ns        40029
BM_oaconvolve<double>/1000/95            5697 ns         5678 ns       122245
BM_oaconvolve<double>/1664/95            7422 ns         7398 ns        94081
BM_oaconvolve<double>/2304/95           10751 ns        10709 ns        65380
BM_oaconvolve<double>/2816/95           12419 ns        12368 ns        56451
BM_oaconvolve<double>/3326/95           14116 ns        14063 ns        49709
BM_oaconvolve<double>/4352/95           19192 ns        19125 ns        36635
BM_oaconvolve<float>/1000/15             2748 ns         2738 ns       255162
BM_oaconvolve<float>/1664/15             4626 ns         4608 ns       152094
BM_oaconvolve<float>/2304/15             6458 ns         6404 ns       109399
BM_oaconvolve<float>/2816/15             7714 ns         7684 ns        90074
BM_oaconvolve<float>/3326/15             9033 ns         9003 ns        77331
BM_oaconvolve<float>/4352/15            11883 ns        11837 ns        59206
BM_oaconvolve<float>/1000/35             3370 ns         3360 ns       207402
BM_oaconvolve<float>/1664/35             5423 ns         5403 ns       128598
BM_oaconvolve<float>/2304/35             7473 ns         7447 ns        93429
BM_oaconvolve<float>/2816/35             8945 ns         8913 ns        72789
BM_oaconvolve<float>/3326/35            10698 ns        10660 ns        65407
BM_oaconvolve<float>/4352/35            13959 ns        13912 ns        50379
BM_oaconvolve<float>/1000/65             5153 ns         5134 ns       135101
BM_oaconvolve<float>/1664/65             6673 ns         6648 ns       104734
BM_oaconvolve<float>/2304/65             9639 ns         9605 ns        72653
BM_oaconvolve<float>/2816/65            11361 ns        11282 ns        62262
BM_oaconvolve<float>/3326/65            12655 ns        12606 ns        55505
BM_oaconvolve<float>/4352/65            15714 ns        15653 ns        44868
BM_oaconvolve<float>/1000/95             5157 ns         5142 ns       135135
BM_oaconvolve<float>/1664/95             6995 ns         6770 ns       104532
BM_oaconvolve<float>/2304/95             9674 ns         9633 ns        72387
BM_oaconvolve<float>/2816/95            11176 ns        11150 ns        62825
BM_oaconvolve<float>/3326/95            12693 ns        12644 ns        55299
BM_oaconvolve<float>/4352/95            17233 ns        17163 ns        40905
BM_oaconvolve_same<double>/1000/15       3164 ns         3152 ns       224502
BM_oaconvolve_same<double>/1664/15       5298 ns         5278 ns       131658
BM_oaconvolve_same<double>/2304/15       7274 ns         7253 ns        96160
BM_oaconvolve_same<double>/2816/15       8791 ns         8759 ns        71987
BM_oaconvolve_same<double>/3326/15      10336 ns        10300 ns        67820
BM_oaconvolve_same<double>/4352/15      13678 ns        13625 ns        51356
BM_oaconvolve_same<double>/1000/35       3954 ns         3940 ns       177996
BM_oaconvolve_same<double>/1664/35       6367 ns         6342 ns       109728
BM_oaconvolve_same<double>/2304/35       8777 ns         8741 ns        79653
BM_oaconvolve_same<double>/2816/35      10499 ns        10463 ns        66759
BM_oaconvolve_same<double>/3326/35      12566 ns        12523 ns        55740
BM_oaconvolve_same<double>/4352/35      16568 ns        16472 ns        42686
BM_oaconvolve_same<double>/1000/65       5678 ns         5657 ns       122878
BM_oaconvolve_same<double>/1664/65       7403 ns         7378 ns        94491
BM_oaconvolve_same<double>/2304/65      10745 ns        10697 ns        65435
BM_oaconvolve_same<double>/2816/65      12405 ns        12356 ns        50955
BM_oaconvolve_same<double>/3326/65      14093 ns        14045 ns        49845
BM_oaconvolve_same<double>/4352/65      17591 ns        17529 ns        40029
BM_oaconvolve_same<double>/1000/95       5719 ns         5700 ns       122596
BM_oaconvolve_same<double>/1664/95       7454 ns         7430 ns        93303
BM_oaconvolve_same<double>/2304/95      10802 ns        10762 ns        64874
BM_oaconvolve_same<double>/2816/95      12511 ns        12470 ns        56031
BM_oaconvolve_same<double>/3326/95      14242 ns        14189 ns        49292
BM_oaconvolve_same<double>/4352/95      19491 ns        19354 ns        36259
BM_oaconvolve_same<float>/1000/15        2801 ns         2789 ns       252247
BM_oaconvolve_same<float>/1664/15        4681 ns         4663 ns       144225
BM_oaconvolve_same<float>/2304/15        6523 ns         6477 ns       108269
BM_oaconvolve_same<float>/2816/15        7797 ns         7769 ns        89624
BM_oaconvolve_same<float>/3326/15        9154 ns         9121 ns        76347
BM_oaconvolve_same<float>/4352/15       12354 ns        12277 ns        58169
BM_oaconvolve_same<float>/1000/35        3399 ns         3386 ns       204510
BM_oaconvolve_same<float>/1664/35        5473 ns         5456 ns       127574
BM_oaconvolve_same<float>/2304/35        7516 ns         7500 ns        92913
BM_oaconvolve_same<float>/2816/35        9016 ns         8980 ns        77455
BM_oaconvolve_same<float>/3326/35       10818 ns        10778 ns        64835
BM_oaconvolve_same<float>/4352/35       14076 ns        14022 ns        50013
BM_oaconvolve_same<float>/1000/65        5149 ns         5135 ns       135044
BM_oaconvolve_same<float>/1664/65        6676 ns         6653 ns       104740
BM_oaconvolve_same<float>/2304/65        9769 ns         9704 ns        72563
BM_oaconvolve_same<float>/2816/65       11164 ns        11116 ns        62901
BM_oaconvolve_same<float>/3326/65       12660 ns        12616 ns        55463
BM_oaconvolve_same<float>/4352/65       15683 ns        15630 ns        44556
BM_oaconvolve_same<float>/1000/95        5155 ns         5140 ns       134792
BM_oaconvolve_same<float>/1664/95        6706 ns         6684 ns       104451
BM_oaconvolve_same<float>/2304/95        9685 ns         9646 ns        72307
BM_oaconvolve_same<float>/2816/95       11202 ns        11157 ns        62574
BM_oaconvolve_same<float>/3326/95       12722 ns        12678 ns        55124
BM_oaconvolve_same<float>/4352/95       17251 ns        17188 ns        40618
BM_convolve<double>/1000/15              8968 ns         8938 ns        78300
BM_convolve<double>/1664/15             52749 ns        52568 ns        13174
BM_convolve<double>/2304/15             66735 ns        63779 ns        11053
BM_convolve<double>/2816/15             80912 ns        80630 ns         8630
BM_convolve<double>/3326/15            104792 ns       104458 ns         6688
BM_convolve<double>/4352/15            161837 ns       161212 ns         4352
BM_convolve<double>/1000/35             24282 ns        24198 ns        28933
BM_convolve<double>/1664/35             47815 ns        47642 ns        14719
BM_convolve<double>/2304/35             73711 ns        73445 ns         9487
BM_convolve<double>/2816/35             41106 ns        40071 ns        17602
BM_convolve<double>/3326/35             22364 ns        22267 ns        31451
BM_convolve<double>/4352/35            120825 ns       120418 ns         5811
BM_convolve<double>/1000/65             13311 ns        13259 ns        52866
BM_convolve<double>/1664/65             10939 ns        10877 ns        65571
BM_convolve<double>/2304/65             53999 ns        53806 ns        12963
BM_convolve<double>/2816/65             17779 ns        17725 ns        39495
BM_convolve<double>/3326/65             98313 ns        97998 ns         7125
